example,n_pattern,n_target,k,density,max_multiplicity,approx_time,exact_time,approx_cost,exact_cost,accuracy_ratio,exact_timed_out
test_028_n4_m15_d60_mult3.txt,4,15,5,0.3,2,0.0023763750214129686,,90,,,True
test_028_n9_m15_d50_mult2.txt,9,15,1,0.3,2,0.0027283329982310534,,53,,,True
test_028_n9_m15_d50_mult2.txt,9,15,2,0.3,2,0.0028207499999552965,,106,,,True
test_028_n9_m15_d50_mult2.txt,9,15,3,0.3,2,0.002469124970957637,,159,,,True
test_028_n9_m15_d50_mult2.txt,9,15,4,0.3,2,0.0027755829505622387,,212,,,True
test_028_n9_m15_d50_mult2.txt,9,15,5,0.3,2,0.0025127920089289546,,265,,,True
test_033_n10_m15_d20_mult2.txt,10,15,1,0.3,2,0.0026066669961437583,,29,,,True
test_033_n10_m15_d20_mult2.txt,10,15,2,0.3,2,0.002691166941076517,,58,,,True
test_033_n10_m15_d20_mult2.txt,10,15,3,0.3,2,0.003040082985535264,,87,,,True
test_033_n10_m15_d20_mult2.txt,10,15,4,0.3,2,0.002426167018711567,,116,,,True
test_033_n10_m15_d20_mult2.txt,10,15,5,0.3,2,0.002504625008441508,,145,,,True
test_033_n6_m15_d20_mult2.txt,6,15,1,0.3,2,0.003045415971428156,,6,,,True
test_033_n6_m15_d20_mult2.txt,6,15,2,0.3,2,0.0025327500188723207,,12,,,True
test_033_n6_m15_d20_mult2.txt,6,15,3,0.3,2,0.0025210409658029675,,18,,,True
test_033_n6_m15_d20_mult2.txt,6,15,4,0.3,2,0.0027402089908719063,,24,,,True
test_033_n6_m15_d20_mult2.txt,6,15,5,0.3,2,0.0026455000042915344,,30,,,True
scale_1003_n4_m20.txt,4,20,1,0.3,2,0.002537291031330824,,8,,,True
scale_1003_n4_m20.txt,4,20,2,0.3,2,0.002506040968000889,,16,,,True
scale_1003_n4_m20.txt,4,20,3,0.3,2,0.0028943329816684127,,24,,,True
scale_1003_n4_m20.txt,4,20,4,0.3,2,0.0026605830062180758,,32,,,True
scale_1003_n4_m20.txt,4,20,5,0.3,2,0.0027394999051466584,,40,,,True
test_001_n6_m20_d60_mult1.txt,6,20,1,0.3,2,0.0029872501036152244,,15,,,True
test_001_n6_m20_d60_mult1.txt,6,20,2,0.3,2,0.0025752499932423234,,30,,,True
test_001_n6_m20_d60_mult1.txt,6,20,3,0.3,2,0.0026795839658007026,,45,,,True
test_001_n6_m20_d60_mult1.txt,6,20,4,0.3,2,0.0024929579813033342,,60,,,True
test_001_n6_m20_d60_mult1.txt,6,20,5,0.3,2,0.0028077500173822045,,75,,,True
test_002_n9_m20_d20_mult2.txt,9,20,1,0.3,2,0.00275891600176692,,14,,,True
test_002_n9_m20_d20_mult2.txt,9,20,2,0.3,2,0.0025356250116601586,,28,,,True
test_002_n9_m20_d20_mult2.txt,9,20,3,0.3,2,0.002563082962296903,,42,,,True
test_002_n9_m20_d20_mult2.txt,9,20,4,0.3,2,0.0024042919976636767,,56,,,True
test_002_n9_m20_d20_mult2.txt,9,20,5,0.3,2,0.0023815000895410776,,70,,,True
test_008_n8_m20_d40_mult1.txt,8,20,1,0.3,2,0.002587915980257094,,22,,,True
test_008_n8_m20_d40_mult1.txt,8,20,2,0.3,2,0.002927292021922767,,44,,,True
test_008_n8_m20_d40_mult1.txt,8,20,3,0.3,2,0.002596084028482437,,66,,,True
test_008_n8_m20_d40_mult1.txt,8,20,4,0.3,2,0.0023447079584002495,,88,,,True
test_008_n8_m20_d40_mult1.txt,8,20,5,0.3,2,0.0025348749477416277,,110,,,True
test_010_n7_m20_d60_mult3.txt,7,20,1,0.3,2,0.0027097499696537852,,55,,,True
test_010_n7_m20_d60_mult3.txt,7,20,2,0.3,2,0.002545707975514233,,110,,,True
test_010_n7_m20_d60_mult3.txt,7,20,3,0.3,2,0.0026789169060066342,,165,,,True
test_010_n7_m20_d60_mult3.txt,7,20,4,0.3,2,0.002762999967671931,,220,,,True
test_010_n7_m20_d60_mult3.txt,7,20,5,0.3,2,0.003948166035115719,,275,,,True
test_013_n3_m20_d50_mult2.txt,3,20,1,0.3,2,0.00400437496136874,,1,,,True
test_013_n3_m20_d50_mult2.txt,3,20,2,0.3,2,0.0025525829987600446,,2,,,True
test_013_n3_m20_d50_mult2.txt,3,20,3,0.3,2,0.002711209002882242,,3,,,True
test_013_n3_m20_d50_mult2.txt,3,20,4,0.3,2,0.0030463329749181867,,4,,,True
test_013_n3_m20_d50_mult2.txt,3,20,5,0.3,2,0.0026987079763785005,,5,,,True
test_015_n7_m20_d40_mult1.txt,7,20,1,0.3,2,0.0023704590275883675,,19,,,True
test_015_n7_m20_d40_mult1.txt,7,20,2,0.3,2,0.0023576250532642007,,38,,,True
test_015_n7_m20_d40_mult1.txt,7,20,3,0.3,2,0.0027663749642670155,,57,,,True
test_015_n7_m20_d40_mult1.txt,7,20,4,0.3,2,0.002667458029463887,,76,,,True
test_015_n7_m20_d40_mult1.txt,7,20,5,0.3,2,0.0025044160429388285,,95,,,True
test_027_n5_m20_d60_mult3.txt,5,20,1,0.3,2,0.002598416991531849,,23,,,True
test_027_n5_m20_d60_mult3.txt,5,20,2,0.3,2,0.0025712921051308513,,46,,,True
test_027_n5_m20_d60_mult3.txt,5,20,3,0.3,2,0.0025202089454978704,,69,,,True
